epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.056,4.0774,3.54268,2.07215,0.01333,0.00502,0.007,0.00233,3.45902,3.55478,1.57252,4e-05,4e-05,4e-05
2,39.043,3.89398,3.50684,1.9133,0.02333,0.00878,0.01182,0.00389,3.35654,3.53952,1.41405,9.802e-05,9.802e-05,9.802e-05
3,57.8315,3.81465,3.47961,1.90637,0.03833,0.01442,0.02095,0.00657,3.28393,3.5254,1.32876,0.000153664,0.000153664,0.000153664
4,99.8176,3.67747,3.39555,1.74169,0.05333,0.02006,0.02773,0.0104,3.25485,3.51141,1.27365,0.000206932,0.000206932,0.000206932
5,125.952,3.62096,3.31966,1.62424,0.07333,0.02759,0.03826,0.0141,3.25495,3.49052,1.25582,0.000257824,0.000257824,0.000257824
6,175.276,3.38164,3.13742,1.48331,0.05167,0.01944,0.02685,0.01045,3.26098,3.44479,1.2094,0.00030634,0.00030634,0.00030634
7,231.64,3.41586,3.09893,1.50669,0.02833,0.01066,0.0148,0.00555,3.27246,3.40914,1.20971,0.00035248,0.00035248,0.00035248
8,256.467,3.28817,3.02183,1.42621,0.02833,0.01066,0.01918,0.00617,3.22799,3.32296,1.17291,0.000396244,0.000396244,0.000396244
9,272.659,3.11606,2.9047,1.40085,0.02833,0.01066,0.01918,0.00617,3.22799,3.32296,1.17291,0.000437632,0.000437632,0.000437632
10,315.365,3.24203,2.90344,1.40363,0.035,0.01317,0.01922,0.00717,3.15383,3.22846,1.17591,0.000476644,0.000476644,0.000476644
11,344.789,3.20028,2.75534,1.33401,0.035,0.01317,0.01922,0.00717,3.15383,3.22846,1.17591,0.00051328,0.00051328,0.00051328
12,396.167,3.2312,2.69378,1.32671,0.07833,0.02947,0.04503,0.01685,3.13846,3.24617,1.31542,0.00054754,0.00054754,0.00054754
13,409.066,2.9992,2.64789,1.29385,0.07833,0.02947,0.04503,0.01685,3.13846,3.24617,1.31542,0.000579424,0.000579424,0.000579424
14,444.506,2.94738,2.66974,1.32584,0.105,0.0395,0.05909,0.0205,3.28717,3.1796,1.40013,0.000608932,0.000608932,0.000608932
15,486.953,3.00012,2.50311,1.2729,0.105,0.0395,0.05909,0.0205,3.28717,3.1796,1.40013,0.000636064,0.000636064,0.000636064
16,516.492,2.99125,2.54811,1.30827,0.105,0.0395,0.05909,0.0205,3.28717,3.1796,1.40013,0.00066082,0.00066082,0.00066082
17,577.842,3.08711,2.45785,1.25592,0.15333,0.05768,0.09922,0.03683,3.38846,2.87356,1.34821,0.0006832,0.0006832,0.0006832
18,645.065,3.03385,2.48757,1.31758,0.15333,0.05768,0.09922,0.03683,3.38846,2.87356,1.34821,0.000703204,0.000703204,0.000703204
19,725.728,2.83907,2.45587,1.27593,0.15333,0.05768,0.09922,0.03683,3.38846,2.87356,1.34821,0.000720832,0.000720832,0.000720832
20,830.485,3.04731,2.40607,1.25896,0.24,0.09028,0.15734,0.05259,3.56212,2.45577,1.3188,0.000736084,0.000736084,0.000736084
21,913.04,2.8116,2.27877,1.2293,0.24,0.09028,0.15734,0.05259,3.56212,2.45577,1.3188,0.00074896,0.00074896,0.00074896
22,982.116,2.9624,2.29611,1.21808,0.24,0.09028,0.15734,0.05259,3.56212,2.45577,1.3188,0.00075946,0.00075946,0.00075946
23,1013.98,2.84497,2.41027,1.27767,0.24,0.09028,0.15734,0.05259,3.56212,2.45577,1.3188,0.000767584,0.000767584,0.000767584
24,1087.36,3.10814,2.40615,1.26594,0.23833,0.08966,0.1587,0.04257,3.83062,2.12395,1.29177,0.000773332,0.000773332,0.000773332
25,1146.01,2.91346,2.25532,1.22108,0.23833,0.08966,0.1587,0.04257,3.83062,2.12395,1.29177,0.000776704,0.000776704,0.000776704
26,1182.65,2.62619,2.24464,1.22379,0.23833,0.08966,0.1587,0.04257,3.83062,2.12395,1.29177,0.0007777,0.0007777,0.0007777
27,1233.07,2.86368,2.2271,1.2056,0.23833,0.08966,0.1587,0.04257,3.83062,2.12395,1.29177,0.00077632,0.00077632,0.00077632
28,1262.5,2.99775,2.24188,1.21008,0.23833,0.08966,0.1587,0.04257,3.83062,2.12395,1.29177,0.000772564,0.000772564,0.000772564
29,1299.24,2.86971,2.22457,1.20931,0.29333,0.11034,0.1934,0.05362,3.69472,1.96939,1.22713,0.000766432,0.000766432,0.000766432
30,1333.81,2.95856,2.20894,1.19847,0.29333,0.11034,0.1934,0.05362,3.69472,1.96939,1.22713,0.000757924,0.000757924,0.000757924
31,1398.74,3.15343,2.23064,1.20317,0.29333,0.11034,0.1934,0.05362,3.69472,1.96939,1.22713,0.00074704,0.00074704,0.00074704
32,1435.77,3.11555,2.1487,1.17421,0.29333,0.11034,0.1934,0.05362,3.69472,1.96939,1.22713,0.00073378,0.00073378,0.00073378
33,1450.75,2.87552,2.18107,1.19069,0.29333,0.11034,0.1934,0.05362,3.69472,1.96939,1.22713,0.000718144,0.000718144,0.000718144
34,1463.13,2.75645,2.16181,1.17509,0.45,0.16928,0.29718,0.10005,3.29628,1.80811,1.13799,0.0006932,0.0006932,0.0006932
35,1485.26,2.73235,2.1309,1.17268,0.45,0.16928,0.29718,0.10005,3.29628,1.80811,1.13799,0.0006536,0.0006536,0.0006536
36,1537.69,2.87621,2.15201,1.1716,0.45,0.16928,0.29718,0.10005,3.29628,1.80811,1.13799,0.000614,0.000614,0.000614
37,1586.41,2.77499,2.1522,1.16823,0.45,0.16928,0.29718,0.10005,3.29628,1.80811,1.13799,0.0005744,0.0005744,0.0005744
38,1641.69,2.90813,2.11582,1.16195,0.45,0.16928,0.29718,0.10005,3.29628,1.80811,1.13799,0.0005348,0.0005348,0.0005348
39,1673.7,2.77542,2.0631,1.12789,0.45,0.16928,0.29718,0.10005,3.29628,1.80811,1.13799,0.0004952,0.0004952,0.0004952
40,1740.86,2.77729,2.08855,1.14021,0.50667,0.1906,0.33578,0.11181,3.17503,1.79297,1.11752,0.0004556,0.0004556,0.0004556
41,1771.95,2.71578,2.03198,1.13135,0.50667,0.1906,0.33578,0.11181,3.17503,1.79297,1.11752,0.000416,0.000416,0.000416
42,1801.19,2.84855,2.01827,1.13385,0.50667,0.1906,0.33578,0.11181,3.17503,1.79297,1.11752,0.0003764,0.0003764,0.0003764
